Distance_(pixels),Gray_Value,Gray_Value,最小值1,最小值2,最大值1,最大值2,归一化值1,归一化值2
83,260.007,3735.388,175.4,879,302.6,3981.333,0.665149371,0.920722566
84,252.607,3541.378,175.4,879,302.6,3981.333,0.60697327,0.858185759
85,264.996,3373.193,175.4,879,302.6,3981.333,0.704371069,0.803973332
86,260.366,3270.933,175.4,879,302.6,3981.333,0.667971698,0.771011042
87,240.081,3130.756,175.4,879,302.6,3981.333,0.508498428,0.72582666
88,246.979,3003.026,175.4,879,302.6,3981.333,0.562727987,0.68465442
89,220.109,2717.856,175.4,879,302.6,3981.333,0.351485849,0.592733275
90,237.667,2728,175.4,879,302.6,3981.333,0.48952044,0.596003073
91,246.746,2683.771,175.4,879,302.6,3981.333,0.560896226,0.581746382
92,240.338,2672.849,175.4,879,302.6,3981.333,0.510518868,0.578225806
93,253.563,2773.948,175.4,879,302.6,3981.333,0.614488994,0.610813862
94,252.238,2956.244,175.4,879,302.6,3981.333,0.604072327,0.669574801
95,232.012,3093.519,175.4,879,302.6,3981.333,0.445062893,0.713823758
96,229.237,3143.548,175.4,879,302.6,3981.333,0.423246855,0.729950009
97,229.096,3012.384,175.4,879,302.6,3981.333,0.422138365,0.687670859
98,240.307,2920.323,175.4,879,302.6,3981.333,0.510275157,0.657996095
99,240.667,2937.533,175.4,879,302.6,3981.333,0.513105346,0.663543533
100,218.004,2900.514,175.4,879,302.6,3981.333,0.334937107,0.651610901
101,232.562,2837.49,175.4,879,302.6,3981.333,0.449386792,0.631295867
102,236.57,2729.274,175.4,879,302.6,3981.333,0.480896226,0.596413731
103,224.528,2755.519,175.4,879,302.6,3981.333,0.386226415,0.604873494
104,236.63,2567.329,175.4,879,302.6,3981.333,0.481367925,0.544212694
105,247.556,2483.148,175.4,879,302.6,3981.333,0.567264151,0.517077954
106,233.376,2425.669,175.4,879,302.6,3981.333,0.455786164,0.498550285
107,241.127,2364.79,175.4,879,302.6,3981.333,0.516721698,0.478926666
108,240,2295,175.4,879,302.6,3981.333,0.507861635,0.456430693
109,226.018,2188.43,175.4,879,302.6,3981.333,0.397940252,0.422079126
110,207.28,2106.963,175.4,879,302.6,3981.333,0.250628931,0.395819211
111,217.178,2038.748,175.4,879,302.6,3981.333,0.328443396,0.37383092
112,210.13,1913.418,175.4,879,302.6,3981.333,0.273034591,0.333432291
113,200.891,1959.857,175.4,879,302.6,3981.333,0.200400943,0.348401348
114,205.904,1761.111,175.4,879,302.6,3981.333,0.239811321,0.284337948
115,218.523,1739.724,175.4,879,302.6,3981.333,0.339017296,0.277444104
116,210.15,1729.064,175.4,879,302.6,3981.333,0.273191824,0.27400798
117,203.467,1698.867,175.4,879,302.6,3981.333,0.220652516,0.264274338
118,189.621,1621.482,175.4,879,302.6,3981.333,0.111800314,0.239330207
119,201.221,1614.012,175.4,879,302.6,3981.333,0.202995283,0.236922342
120,205.111,1617.185,175.4,879,302.6,3981.333,0.233577044,0.237945121
121,201.334,1575.287,175.4,879,302.6,3981.333,0.203883648,0.224439801
122,203.951,1582.393,175.4,879,302.6,3981.333,0.224457547,0.226730335
123,217.807,1503.17,175.4,879,302.6,3981.333,0.333388365,0.201193747
124,201.996,1408.493,175.4,879,302.6,3981.333,0.20908805,0.170675746
125,213.391,1467.078,175.4,879,302.6,3981.333,0.298671384,0.189559922
126,204.533,1474.8,175.4,879,302.6,3981.333,0.229033019,0.192049016
127,192.3,1419.177,175.4,879,302.6,3981.333,0.132861635,0.174119606
128,213.811,1373.551,175.4,879,302.6,3981.333,0.30197327,0.15941261
129,206.215,1338.43,175.4,879,302.6,3981.333,0.242256289,0.148091775
130,204.86,1310.132,175.4,879,302.6,3981.333,0.231603774,0.138970252
131,202.245,1342.669,175.4,879,302.6,3981.333,0.211045597,0.149458166
132,180.993,1356.296,175.4,879,302.6,3981.333,0.043970126,0.153850667
133,188.174,1372.187,175.4,879,302.6,3981.333,0.100424528,0.158972941
134,185.706,1338.304,175.4,879,302.6,3981.333,0.081022013,0.14805116
135,199,1282,175.4,879,302.6,3981.333,0.185534591,0.129902238
