ObjectNumber,Metadata_cell,Metadata_concentration,Metadata_dish,Metadata_hour,Metadata_site,Metadata_treatment,Predicted_Probability,P,Ed_region_mean,Rc_region_mean,Fp_region_PCC,Fp_cell_PCC,FRET_Judge,Near_Ed,Ed_diff,E_Ed_diff,E_Ed_std,E_Ed_predict_std,E_Fp,T
1,A549,25,1,2,2,AFA,0.190848704,-0.051789608,0.217320144,1.700868607,-0.351651549,0.6024216,control,0.280205182,0,0,0,0.015457388,0.648348451,0.331902919
2,A549,25,1,2,2,AFA,0.248030077,0.005391765,0.167654768,2.196409941,-0.182614163,0.60980064,AFA,0.190683052,0.115062243,0.115062243,0,0.1983128,0.817385837,0.507849318
1,A549,25,1,2,3,AFA,0.919421919,0.676783606,0.176426485,1.507961154,0.127936065,0.53760153,AFA,0.130914831,0.136618689,0.136618689,0,0.60808804,0.872063935,0.740075987
2,A549,25,1,2,3,AFA,0.420460608,0.177822296,0.269528091,2.630219221,0.461143792,0.6388921,AFA,0.228344545,0.094035351,0.094035351,0.15021055,0,0.538856208,0.269428104
3,A549,25,1,2,3,AFA,0.469068766,0.226430453,0.163798675,1.418102026,0.297102541,0.5497874,AFA,0.12311364,0.137826993,0.137826993,0,0.661573566,0.702897459,0.682235513
4,A549,25,1,2,3,AFA,0.356705003,0.114066691,0.184239835,2.717835426,0.515547156,0.5372254,AFA,0.235951015,0.089317367,0.089317367,0,0,0.484452844,0.242226422
5,A549,25,1,2,3,AFA,0.367884592,0.12524628,0.173848599,2.288259983,-0.313926697,0.4211582,AFA,0.198657085,0.110976508,0.110976508,0,0.143642251,0.686073303,0.414857777
1,A549,25,1,2,4,AFA,0.550880146,0.308241834,0.127691492,1.41166091,0.106183954,0.122046486,AFA,0.122554449,0.137894734,0.137894734,0.099753989,0.665407417,0.893816046,0.779611732
2,A549,25,1,2,4,AFA,0.64546389,0.402825578,0.134735331,3.143270969,0.047340497,0.43427303,AFA,0.272885535,0.064671637,0.064671637,0.067475682,0,0.952659503,0.476329751
1,A549,25,1,2,5,AFA,0.170592252,-0.07204606,0.103639811,0.545872092,0.282663524,0.82752705,control,0.15711809,0,0,0.209970534,0.428436605,0.717336476,0.57288654
2,A549,25,1,2,5,AFA,0.328042835,0.085404523,0.101748496,0.762220263,0.381813854,0.6940068,AFA,0.06617275,0.12628223,0.12628223,0.218637463,1,0.618186146,0.809093073
3,A549,25,1,2,5,AFA,0.419911555,0.177273243,0.110855252,0.941467822,0.455896616,0.49663502,AFA,0.081734267,0.134032293,0.134032293,0.176905864,0.94527353,0.544103384,0.744688457
4,A549,25,1,2,5,AFA,0.243211689,0.000573376,0.181014076,2.1784513,-0.356942356,0.7120035,AFA,0.189123958,0.115834827,0.115834827,0,0.209002058,0.643057644,0.426029851
1,A549,25,1,2,6,AFA,0.381158113,0.138519801,0.262276709,2.659925461,0.717602015,0.501876,AFA,0.230923515,0.092451216,0.092451216,0.116981178,0,0.282397985,0.141198993
2,A549,25,1,2,6,AFA,0.169608383,-0.073029929,0.284216762,3.960822105,0.421623349,0.7581744,AFA,0.343861878,0.0113934,0.0113934,0.21752121,0.451892288,0.578376651,0.515134469
3,A549,25,1,2,6,AFA,0.421720602,0.17908229,0.219003767,3.158001661,-0.2866081,0.68361163,AFA,0.274164392,0.063773236,0.063773236,0,0,0.7133919,0.35669595
1,A549,25,1,2,7,AFA,0.523923068,0.281284756,0.168289647,0.761649907,0.853652358,0.5917412,control,0.192373233,0,0,0,0.186724799,0.146347642,0.16653622
2,A549,25,1,2,7,AFA,0.502845262,0.26020695,0.28811118,3.356114864,0.361438274,0.81804353,AFA,0.291363745,0.051440624,0.051440624,0.235367336,0.091961295,0.638561726,0.365261511
3,A549,25,1,2,7,AFA,0.746402384,0.503764072,0.152455673,2.099976301,0.289913356,0.222027,AFA,0.18231109,0.11910392,0.11910392,0,0.255711576,0.710086644,0.48289911
1,A549,25,1,2,8,AFA,0.18065755,-0.061980762,0.343228728,2.410819292,0.238273114,0.5299653,control,0.314495766,0,0,0.487942847,0.250556101,0.761726886,0.506141493
2,A549,25,1,2,8,AFA,0.255663299,0.013024987,0.226529866,1.004664898,-0.379092216,0.48968408,control,0.222991494,0,0,0,0,0.620907784,0.310453892
3,A549,25,1,2,8,AFA,0.478550383,0.235912071,0.121135727,0.559622705,0.387897015,0.55657446,control,0.159655775,0,0,0.129795709,0.41103805,0.612102985,0.511570518
4,A549,25,1,2,8,AFA,0.566866005,0.324227693,0.13863197,1.18987906,-0.39862144,0.3537097,AFA,0.103300284,0.138463668,0.138463668,0.049619381,0.797415364,0.60137856,0.699396962
5,A549,25,1,2,8,AFA,0.254770731,0.012132419,0.239586279,1.657910109,-0.156418711,0.7628186,control,0.277542532,0,0,0.013002549,0,0.843581289,0.421790645
6,A549,25,1,2,8,AFA,0.438168109,0.195529797,0.168018654,1.051164031,-0.483986199,0.56209993,control,0.228023157,0,0,0,0,0.516013801,0.2580069
1,A549,25,1,2,9,AFA,0.174383837,-0.068254475,,3.410553694,-0.081971943,0.45210904,,,,,,,0.918028057,
2,A549,25,1,2,9,AFA,0.345908059,0.103269747,,3.811467409,0.215108201,0.38182288,,,,,,,0.784891799,
3,A549,25,1,2,9,AFA,0.168914461,-0.073723851,0.207702339,3.011635542,-0.127625972,0.45335013,AFA,0.261457502,0.072575824,0.072575824,0,0,0.872374028,0.436187014
4,A549,25,1,2,9,AFA,0.127974567,-0.114663746,,5.478774071,0.103528112,0.601744,,,,,,,0.896471888,
5,A549,25,1,2,9,AFA,0.140160209,-0.102478103,0.089467213,1.670732856,0.40985769,0.7466326,AFA,0.145045983,0.133300295,0.133300295,0.274916301,0.511203835,0.59014231,0.550673072
1,A549,0,1,2,0,control,0.217975899,-0.024662413,0.07199192,0.551229477,-0.106580667,0.16744292,control,0.158112148,0,0,0.354996621,0.421621266,0.893419333,0.6575203
2,A549,0,1,2,0,control,0.127941709,-0.114696603,0.087104119,0.299630255,0.021436676,0.3641222,control,0.102582837,0,0,0.285745147,0.802334233,0.978563324,0.890448778
1,A549,0,1,2,1,control,0.359837401,0.117199089,0.180332273,0.900122881,0.865964592,0.8409896,control,0.210779791,0,0,0,0.060528109,0.134035408,0.097281759
2,A549,0,1,2,1,control,0.145756802,-0.09688151,0.160699233,0.588620245,0.670030355,0.7753854,control,0.164863288,0,0,0,0.375334964,0.329969645,0.352652304
1,A549,0,1,2,10,control,0.190722341,-0.051915971,0.284257501,3.436669111,0.533464849,0.4608319,control,0.344658929,0,0,0.217707899,0.457356927,0.466535151,0.461946039
2,A549,0,1,2,10,control,0.177004427,-0.065633885,0.353855908,2.469810486,0.546024621,0.6344923,control,0.316713613,0,0,0.536641776,0.265761819,0.453975379,0.359868599
