FRET efficiency similarity,Colocalization similarity,A_Extent similarity,T_SumAverage similarity,A_Eccentricity similarity
0.15396438539028168,0.3573934,0.73125,91.92813607,0.7321439751741468
0.08899529278278351,0.96185726,0.7542147293700089,94.6388898,0.5029134461067659
0.11167621612548828,0.91835976,0.7823228634039445,92.78053105,0.1788343977880018
0.08932391554117203,0.8886702,0.7669642857142858,87.77080933,0.5361713395960047
0.08160623908042908,0.7822684,0.7708994708994709,109.0832782,0.3946492264212165
,0.63324773,0.7778801843317973,112.9477821,0.5055293981774185
,0.7823503,0.7964705882352942,116.4955605,0.43199592319858743
0.11176781356334686,0.817065,0.7716836734693877,121.6933123,0.2595975174594273
0.12398490309715271,0.6274024,0.7777777777777778,115.3623205,0.5924043891913279
0.11255232244729996,0.7694354,0.7731481481481481,124.3011358,0.5514891186184747
,0.7964572,0.7449757449757449,115.5537867,0.34462725960870844
,0.8036251,0.7263814616755794,115.8379662,0.30077718332742925
0.08612661063671112,0.9287257,0.774750830564784,116.5335882,0.6600402054331006
0.09758558124303818,0.9277243,0.769656699889258,117.4336489,0.5990397094088137
0.10491670668125153,0.8147352,0.7444444444444445,128.0376817,0.44439425399122007
0.13897669315338135,0.28408504,0.7805250305250305,141.7835373,0.6482521887891791
0.127554252743721,0.5225668,0.7328798185941043,140.7701452,0.5345651736337932
0.1235523521900177,0.6331806,0.7526881720430108,146.1626316,0.5431688504225214
0.12547524273395538,0.7929295,0.764299182903834,140.9047597,0.5155438186086782
0.13876450061798096,0.7114293,0.7717003567181926,152.1906156,0.4495013785869321
0.14269424974918365,0.1493007,0.6756756756756757,144.6403435,0.39148483473082146
,0.8833643,0.6835799859055673,105.5215704,0.7248982397957558
,0.78961164,0.7387084733109369,102.6002645,0.6821679176710719
0.10381820052862167,0.7778214,0.5723880597014925,93.76309227,0.8909946671812617
0.14779220521450043,0.69937015,0.7082612456747405,95.00758706,0.2011542495885925
0.13875557482242584,0.839944,0.724,98.02722307,0.4097893189343807
0.16664212942123413,0.8592137,0.7646195253241986,95.0550085,0.46644310756308016
0.12684763967990875,0.7434849,0.767512077294686,100.1074578,0.7078468163481167
0.14750836789608002,0.48930532,0.772093023255814,108.6124101,0.4545192941295833
0.1458427459001541,0.9048989,0.7862644415917843,105.9397927,0.3951931641443975
0.13004624843597412,0.91490746,0.8,120.6722999,0.4295746900794758
0.0994342565536499,0.84125453,0.770189701897019,106.0387003,0.5714478793084586
,0.9035138,0.7785326086956522,117.784901,0.7332261313102273
0.1491054743528366,0.87791646,0.7864661654135339,125.7356947,0.37489428508415135
,0.8081093,0.7418831168831169,129.7605884,0.42991047061014825
0.13732656836509705,0.7141107,0.7287946428571429,125.0842707,0.6270657320321567
0.11743839085102081,0.8582296,0.7911111111111111,126.3989849,0.32054635534155773
0.08812733739614487,0.7994522,0.7548872180451128,125.8866768,0.45226576240576116
0.13271674513816833,0.819339,0.6651868294487606,126.6281589,0.7764886960704419
,0.8108671,0.7653846153846153,136.7442152,0.43445338555598834
0.0831797868013382,0.34877843,0.7527027027027027,142.8520946,0.3758191858006275
,0.9163488,0.7352795645719941,138.84369,0.7526834346525878
0.07821643352508545,0.7508422,0.7489564698867024,137.8068727,0.46969299815994875
0.07599474489688873,0.75212115,0.6996865203761755,139.1083069,0.6603886657559788
0.07892441004514694,0.7974057,0.7984962406015037,142.6660164,0.4694521709252033
0.07500824332237244,0.91273177,0.7854122621564482,135.8146521,0.4841657544265836
0.13125339150428772,0.5444133,0.7080610021786492,112.7953688,0.7739147284139428
0.12978331744670868,0.5465956,0.7004437869822485,114.8971639,0.7043816114855813
0.14729714393615723,0.78910255,0.7677777777777778,113.1753554,0.5293439722682348
,0.8300891,0.7612903225806451,108.7956407,0.5803068828695666
0.16374067962169647,0.8843988,0.7357142857142858,110.3527172,0.31686473643725843
0.13668958842754364,0.6957139,0.8217317487266553,104.7356876,0.5876400768658389
0.14518576860427856,0.8521284,0.7575757575757576,131.8598941,0.35119074378381726
0.1662043035030365,0.83524764,0.6932400932400933,110.8624935,0.8886063856034985
0.13672581315040588,0.70076674,0.7867036011080333,133.5528689,0.21249258822737357
0.11733254790306091,0.799624,0.7565298507462687,129.0139276,0.7436861789677719
0.13460436463356018,0.71065253,0.7613711272247857,139.2584021,0.5883379946463624
0.13831745088100433,0.82521015,0.725752508361204,135.2150139,0.5104670542273589
0.10151218622922897,0.8375795,0.7561702127659574,88.36644155,0.5708362550480807
,0.7425325,0.7603890362511052,91.87330317,0.639774599656736
0.11411582678556442,0.49219763,0.746875,88.89450718,0.30604325281059086
0.12658244371414185,0.50780606,0.7575757575757576,95.0692933,0.5093440268013918
0.1522744596004486,0.92125595,0.7441130298273155,89.97080763,0.5612416931928857
0.09050802886486053,0.8060951,0.754813863928113,92.97380289,0.639713198796174
0.09873910248279572,0.857872,0.7481024667931688,94.08017794,0.6567721258035427
0.08527916669845581,0.7238821,0.7309027777777778,89.13833237,0.4780237975615955
0.1331169605255127,0.95568794,0.7948717948717948,94.67081314,0.4381574859239057
,0.5582787,0.6621621621621622,91.47336635,0.7514041335659045
,0.9386266,0.8381410256410257,125.3973034,0.5482802760367504
0.10378128290176392,0.8607949,0.7911111111111111,125.5849738,0.42121502969438646
0.08170094341039658,0.74873114,0.7655007949125596,127.2531118,0.47594825492779663
0.08669441193342209,0.88742495,0.7644183773216031,128.7218464,0.4131612306061994
0.08889973163604736,0.87516165,0.7887624466571835,132.1687829,0.41596023743596255
0.09049778431653976,0.8394061,0.7711038961038961,129.761311,0.5016993180666547
0.1218097060918808,0.3538216,0.7695652173913043,119.5102242,0.4455902078345444
0.10591010749340057,0.7437993,0.7623931623931623,122.3256775,0.23454098611654373
,0.82409894,0.778642936596218,130.8588701,0.3818592285430796
0.12657389044761658,0.84057987,0.66953125,116.8671304,0.6090710645476456
