Distance_(pixels),Gray_Value,,,,,,,
0,608,1011,563.5,987.158,624,1995.947,0.105037554,0.282080868
1,619.632,1041.526,563.5,987.158,624,1995.947,0.132493662,0.304330998
2,640.526,1103.105,563.5,987.158,624,1995.947,0.181811744,0.349215385
3,677.947,1078.789,563.5,987.158,624,1995.947,0.270140066,0.331491668
4,649,1171.053,563.5,987.158,624,1995.947,0.201813727,0.39874208
5,664.053,1215.342,563.5,987.158,624,1995.947,0.237344745,0.431023939
6,716.211,1337.263,563.5,987.158,624,1995.947,0.3604582,0.519891075
7,746.132,1391.184,563.5,987.158,624,1995.947,0.431083563,0.559193613
8,813.421,1560.316,563.5,987.158,624,1995.947,0.589912146,0.682472428
9,879.211,1576.605,563.5,987.158,624,1995.947,0.745202498,0.694345335
10,810.684,1796.526,563.5,987.158,624,1995.947,0.583451746,0.854643802
11,806.026,1748.5,563.5,987.158,624,1995.947,0.572457029,0.819638076
12,958.789,1810,563.5,987.158,624,1995.947,0.933037969,0.864464881
13,891.474,1813.105,563.5,987.158,624,1995.947,0.774148016,0.866728088
14,960.895,1995.947,563.5,987.158,624,1995.947,0.93800896,1
15,884.158,1892.368,563.5,987.158,624,1995.947,0.75687937,0.924502186
16,905.526,1849.684,563.5,987.158,624,1995.947,0.807316279,0.893390197
17,885.816,1683.447,563.5,987.158,624,1995.947,0.760792904,0.772221522
18,914.579,1653.158,563.5,987.158,624,1995.947,0.82868493,0.750144138
19,889.5,1570,563.5,987.158,624,1995.947,0.769488597,0.68953101
20,846.316,1481.947,563.5,987.158,624,1995.947,0.667557322,0.625349959
21,828.921,1443.632,563.5,987.158,624,1995.947,0.62649826,0.597422495
22,792.737,1403.211,563.5,987.158,624,1995.947,0.541089747,0.567959987
23,831.421,1272,563.5,987.158,624,1995.947,0.632399247,0.472321453
24,802.526,1276.474,563.5,987.158,624,1995.947,0.564195648,0.475582512
25,777.289,1317.553,563.5,987.158,624,1995.947,0.504626373,0.50552463
26,762,1250.053,563.5,987.158,624,1995.947,0.468538302,0.456324479
27,753.316,1273.289,563.5,987.158,624,1995.947,0.448040637,0.473260993
28,742.263,1164.158,563.5,987.158,624,1995.947,0.421951196,0.393716375
29,704.737,1171.158,563.5,987.158,624,1995.947,0.333375034,0.398818613
30,759.211,1170.211,563.5,987.158,624,1995.947,0.461955162,0.398128353
31,716.737,1195.079,563.5,987.158,624,1995.947,0.361699767,0.416254418
32,693.053,1111.947,563.5,987.158,624,1995.947,0.305796185,0.355660241
33,686.368,1134.816,563.5,987.158,624,1995.947,0.290016948,0.372329252
34,704.895,1047.158,563.5,987.158,624,1995.947,0.333747976,0.308436113
