Distance_(pixels),Gray_Value,Gray_Value,最小值1,最小值2,最大值1,最大值2,归一化1,归一化2
0,221,1576,221,1576,521.973,7329.348,0,0
1,261.839,1698.482,221,1576,521.973,7329.348,0.135689912,0.021288822
2,221.018,1623.089,221,1576,521.973,7329.348,5.9806E-05,0.008184626
3,230.027,1691.652,221,1576,521.973,7329.348,0.029992724,0.020101687
4,279.25,1752.857,221,1576,521.973,7329.348,0.193538955,0.030739841
5,273.812,1782.839,221,1576,521.973,7329.348,0.175470889,0.035951067
6,287.875,1963.464,221,1576,521.973,7329.348,0.222196011,0.067345831
7,262.25,2071.688,221,1576,521.973,7329.348,0.137055483,0.086156443
8,244.071,2165.5,221,1576,521.973,7329.348,0.076654717,0.102462079
9,265.795,2199.464,221,1576,521.973,7329.348,0.148833949,0.108365425
10,269.75,2379.072,221,1576,521.973,7329.348,0.161974662,0.139583422
11,277.116,2537.982,221,1576,521.973,7329.348,0.186448618,0.167203861
12,250.25,2719.143,221,1576,521.973,7329.348,0.097184797,0.198691788
13,248.795,2904.545,221,1576,521.973,7329.348,0.092350477,0.230916851
14,284.375,3280.25,221,1576,521.973,7329.348,0.210567061,0.296218828
15,271.223,3542.893,221,1576,521.973,7329.348,0.166868789,0.341869291
16,343.857,3972.143,221,1576,521.973,7329.348,0.408199407,0.416478023
17,374.634,4290.089,221,1576,521.973,7329.348,0.510457749,0.471740802
18,346.375,4593.589,221,1576,521.973,7329.348,0.416565606,0.524492695
19,388.384,4569.696,221,1576,521.973,7329.348,0.55614291,0.520339809
20,395.607,4740.357,221,1576,521.973,7329.348,0.58014174,0.550002711
21,398.688,4928.188,221,1576,521.973,7329.348,0.590378539,0.582649963
22,397.929,4791.571,221,1576,521.973,7329.348,0.587856718,0.558904311
23,395.205,4633.518,221,1576,521.973,7329.348,0.578806072,0.531432828
24,397.286,4628.071,221,1576,521.973,7329.348,0.585720314,0.530486075
25,360.036,4685.473,221,1576,521.973,7329.348,0.461955059,0.540463222
26,385.304,4639,221,1576,521.973,7329.348,0.545909434,0.532385665
27,351.857,4872.866,221,1576,521.973,7329.348,0.434779864,0.573034345
28,388,4776,221,1576,521.973,7329.348,0.554867048,0.556197887
29,406.17,4813.706,221,1576,521.973,7329.348,0.615237912,0.562751636
30,407.804,4733.286,221,1576,521.973,7329.348,0.62066697,0.548773688
31,427.295,4799.098,221,1576,521.973,7329.348,0.685426932,0.560212593
32,405.714,5013.714,221,1576,521.973,7329.348,0.613722826,0.597515395
33,394.446,5065.304,221,1576,521.973,7329.348,0.576284251,0.606482347
34,430.768,5301.696,221,1576,521.973,7329.348,0.696966173,0.647570076
35,386.25,5351.062,221,1576,521.973,7329.348,0.549052573,0.656150471
36,407.214,5581.214,221,1576,521.973,7329.348,0.618706661,0.696153614
37,454.562,5895.696,221,1576,521.973,7329.348,0.776023098,0.750814308
38,476.571,6366.518,221,1576,521.973,7329.348,0.849149259,0.832648746
39,461.152,6427.581,221,1576,521.973,7329.348,0.79791875,0.843262219
40,439.643,6745.214,221,1576,521.973,7329.348,0.726453868,0.898470595
41,494.812,6884.081,221,1576,521.973,7329.348,0.909756025,0.922607324
42,473.25,7258.375,221,1576,521.973,7329.348,0.838115047,0.987664052
43,474.071,7188.277,221,1576,521.973,7329.348,0.840842866,0.97548019
44,486.036,7203.536,221,1576,521.973,7329.348,0.880597263,0.978132385
45,521.973,7329.348,221,1576,521.973,7329.348,1,1
46,483.696,7157.786,221,1576,521.973,7329.348,0.872822479,0.970180493
47,515.196,7189.206,221,1576,521.973,7329.348,0.97748303,0.975641661
48,484.429,7036.429,221,1576,521.973,7329.348,0.875257914,0.94908721
49,491.062,7023.688,221,1576,521.973,7329.348,0.897296435,0.946872673
50,498.411,6782.875,221,1576,521.973,7329.348,0.921713908,0.905016523
51,501.116,6546.384,221,1576,521.973,7329.348,0.930701425,0.863911587
52,460,6376.607,221,1576,521.973,7329.348,0.794091164,0.834402334
53,461.42,6261.473,221,1576,521.973,7329.348,0.798809196,0.814390682
54,469.268,5909.232,221,1576,521.973,7329.348,0.824884624,0.753167026
55,447.5,5823.75,221,1576,521.973,7329.348,0.7525592,0.738309242
56,432,5525,221,1576,521.973,7329.348,0.701059563,0.686382955
57,424.759,5330.866,221,1576,521.973,7329.348,0.677000927,0.652640167
58,419.768,5374.411,221,1576,521.973,7329.348,0.660418044,0.660208804
59,404.036,5245.456,221,1576,521.973,7329.348,0.608147575,0.637794898
60,382.429,5267.321,221,1576,521.973,7329.348,0.536357082,0.641595294
61,420.955,5204.964,221,1576,521.973,7329.348,0.66436192,0.630756909
62,408.393,5196.411,221,1576,521.973,7329.348,0.622623956,0.629270296
63,416.125,5412.438,221,1576,521.973,7329.348,0.648313968,0.666818346
64,399.857,5263.143,221,1576,521.973,7329.348,0.594262608,0.640869108
65,426.884,5163.536,221,1576,521.973,7329.348,0.684061361,0.623556232
66,389.232,5220.339,221,1576,521.973,7329.348,0.558960438,0.633429266
67,432.464,5125.616,221,1576,521.973,7329.348,0.70260123,0.616965287
68,453.321,5009,221,1576,521.973,7329.348,0.771899805,0.596696046
69,408.446,5078.062,221,1576,521.973,7329.348,0.622800052,0.608699839
70,425,5118,221,1576,521.973,7329.348,0.677801663,0.615641536
71,416.509,5269.134,221,1576,521.973,7329.348,0.64958983,0.641910415
72,423.5,5333.071,221,1576,521.973,7329.348,0.672817828,0.653023422
73,439.259,5393.294,221,1576,521.973,7329.348,0.725178006,0.663490893
74,444.554,5720,221,1576,521.973,7329.348,0.742770946,0.720276263
75,420.875,5796.581,221,1576,521.973,7329.348,0.664096115,0.733586948
76,440.071,5890.929,221,1576,521.973,7329.348,0.727875922,0.749985747
77,466.875,5970.812,221,1576,521.973,7329.348,0.816933745,0.763870359
78,416.625,6040.446,221,1576,521.973,7329.348,0.649975247,0.775973572
79,413.402,6194.929,221,1576,521.973,7329.348,0.639266645,0.802824547
80,436,6295.571,221,1576,521.973,7329.348,0.714349792,0.820317318
81,426.134,6150.562,221,1576,521.973,7329.348,0.681569443,0.795113037
82,456.089,6264.232,221,1576,521.973,7329.348,0.781096643,0.814870229
83,463.848,6613.786,221,1576,521.973,7329.348,0.806876364,0.875626852
84,510,6691.25,221,1576,521.973,7329.348,0.960219023,0.889091013
85,448.045,6771.786,221,1576,521.973,7329.348,0.754369993,0.903089123
86,486.893,6826.161,221,1576,521.973,7329.348,0.883444694,0.912540142
87,438.411,6637.831,221,1576,521.973,7329.348,0.722360478,0.879806158
88,499.857,6877.714,221,1576,521.973,7329.348,0.926518326,0.921500664
89,482.098,6692.027,221,1576,521.973,7329.348,0.867513033,0.889226065
90,486.232,6517.982,221,1576,521.973,7329.348,0.881248484,0.858974983
91,481.75,6491.062,221,1576,521.973,7329.348,0.866356783,0.854295968
92,425.393,6270.107,221,1576,521.973,7329.348,0.679107428,0.815891373
93,401.911,6150.375,221,1576,521.973,7329.348,0.601087141,0.795080534
94,434.214,5818.554,221,1576,521.973,7329.348,0.708415705,0.737406116
95,448.58,5649.982,221,1576,521.973,7329.348,0.756147561,0.708106306
96,445.429,5870.571,221,1576,521.973,7329.348,0.745678184,0.746447286
97,435.884,5748.482,221,1576,521.973,7329.348,0.713964376,0.725226772
98,403.875,5703.125,221,1576,521.973,7329.348,0.607612643,0.717343189
99,408.777,5562.277,221,1576,521.973,7329.348,0.623899818,0.692862139
100,412,5522.464,221,1576,521.973,7329.348,0.63460842,0.685942168
101,413.875,5692.616,221,1576,521.973,7329.348,0.640838215,0.7155166
102,440.018,5401.018,221,1576,521.973,7329.348,0.727699827,0.664833415
103,390.045,5228.804,221,1576,521.973,7329.348,0.561661677,0.634900583
104,452.571,5162.571,221,1576,521.973,7329.348,0.769407887,0.623388504
105,421.375,5176.938,221,1576,521.973,7329.348,0.665757394,0.625885658
106,413.375,4986.607,221,1576,521.973,7329.348,0.639176936,0.592803877
107,393.312,4904.831,221,1576,521.973,7329.348,0.572516472,0.57859024
108,410.857,4689.107,221,1576,521.973,7329.348,0.630810737,0.541094855
109,362.902,4511.081,221,1576,521.973,7329.348,0.471477508,0.510151828
110,353.214,4362.036,221,1576,521.973,7329.348,0.439288574,0.484246042
111,380.634,4046.036,221,1576,521.973,7329.348,0.530393092,0.429321501
112,301,3903,221,1576,521.973,7329.348,0.265804574,0.404460151
