Distance_(pixels),Gray_Value
0,1576.000
1,1698.482
2,1623.089
3,1691.652
4,1752.857
5,1782.839
6,1963.464
7,2071.688
8,2165.500
9,2199.464
10,2379.072
11,2537.982
12,2719.143
13,2904.545
14,3280.250
15,3542.893
16,3972.143
17,4290.089
18,4593.589
19,4569.696
20,4740.357
21,4928.188
22,4791.571
23,4633.518
24,4628.071
25,4685.473
26,4639.000
27,4872.866
28,4776.000
29,4813.706
30,4733.286
31,4799.098
32,5013.714
33,5065.304
34,5301.696
35,5351.062
36,5581.214
37,5895.696
38,6366.518
39,6427.581
40,6745.214
41,6884.081
42,7258.375
43,7188.277
44,7203.536
45,7329.348
46,7157.786
47,7189.206
48,7036.429
49,7023.688
50,6782.875
51,6546.384
52,6376.607
53,6261.473
54,5909.232
55,5823.750
56,5525.000
57,5330.866
58,5374.411
59,5245.456
60,5267.321
61,5204.964
62,5196.411
63,5412.438
64,5263.143
65,5163.536
66,5220.339
67,5125.616
68,5009.000
69,5078.062
70,5118.000
71,5269.134
72,5333.071
73,5393.294
74,5720.000
75,5796.581
76,5890.929
77,5970.812
78,6040.446
79,6194.929
80,6295.571
81,6150.562
82,6264.232
83,6613.786
84,6691.250
85,6771.786
86,6826.161
87,6637.831
88,6877.714
89,6692.027
90,6517.982
91,6491.062
92,6270.107
93,6150.375
94,5818.554
95,5649.982
96,5870.571
97,5748.482
98,5703.125
99,5562.277
100,5522.464
101,5692.616
102,5401.018
103,5228.804
104,5162.571
105,5176.938
106,4986.607
107,4904.831
108,4689.107
109,4511.081
110,4362.036
111,4046.036
112,3903.000
